x y
53 16
232 15
250 14
344 21
473 19
546 18
553 21
573 18
1017 17
1043 17
1069 23
1157 21
1182 20
1222 16
1505 17
1554 24
1833 17
1860 17
1886 16
2005 17
2092 18
2289 18
2883 17
3114 19
3127 20
3273 17
3284 22
3321 17
3390 24
3449 22
3574 23
3676 17
3884 22
4009 24
4065 21
4118 19
4159 17
4199 19
4514 20
4607 16
4640 23
4688 19
4741 16
4808 24
4866 19
5045 15
5154 18
5156 20
5472 18
5524 20
5574 20
5718 22
5778 20
5807 17
5859 22
5995 21
6000 19
6090 15
6280 21
6286 20
6337 20
6346 15
6392 24
6516 25
6534 18
6537 20
6915 21
6954 21
7012 17
7052 12
7106 24
7155 21
7238 19
7346 18
7441 25
7494 20
7516 20
7568 19
7673 17
7723 25
7887 23
7896 21
8044 19
8217 15
8269 14
8275 20
8293 24
8337 18
8410 14
8568 20
8577 20
8619 17
8645 16
8655 19
8670 21
8718 22
8735 19
8791 15
8883 22
8958 25
9087 21
9272 14
9284 18
9299 20
9437 16
9455 18
9571 17
9657 19
9852 16
9899 22
9974 20
10026 17
10081 21
10263 17
10292 19
10342 22
10424 15
10507 21
10685 23
10874 18
10893 24
10916 22
11027 20
11040 22
11113 19
11114 14
11221 20
11323 17
11589 19
11677 23
11799 20
11842 17
11950 20
11959 17
11961 21
12020 22
12269 16
12285 18
12354 17
12391 20
12494 15
