x y
68 31
176 26
250 33
335 33
363 28
494 35
504 26
543 29
561 28
982 30
1106 36
1118 27
1123 34
1229 33
1331 28
1379 30
1609 33
1912 33
2066 30
2113 27
2145 32
2388 28
2858 35
2931 28
3023 27
3351 26
3380 30
3393 28
3420 29
3441 26
3469 37
3704 28
3760 34
3798 32
3800 33
3933 33
3943 31
4019 28
4141 31
4184 24
4250 33
4270 31
4453 33
4459 34
4574 35
4587 32
4776 31
4830 36
4909 30
5122 37
5182 35
5343 41
5361 28
5399 33
5824 30
5848 27
5882 28
6010 27
6054 28
6074 29
6147 36
6204 33
6264 32
6289 33
6693 30
7143 36
7215 28
8038 36
8065 31
8127 33
8184 32
8251 29
8864 28
8928 23
8951 20
9070 32
9157 35
9299 36
9329 31
9496 25
9781 32
9902 31
10043 29
10122 29
10128 29
10778 28
10858 29
10889 30
11147 36
11297 31
11298 29
11319 33
11358 26
11430 32
11609 29
11680 33
11747 29
11970 32
12122 32
12149 29
12211 29
12244 33
12316 26
12399 32
12655 35
12686 31
13102 28
13994 26
14534 32
14550 30
14644 33
14743 28
14770 34
14903 23
15001 31
15002 32
15088 33
15342 27
15452 31
15494 27
15652 39
16041 30
16121 30
16346 34
16515 33
16642 35
16667 30
16835 33
16848 31
17185 28
17214 31
17231 38
17472 32
17576 29
17980 27
17983 29
18031 30
18170 32
18299 32
18418 32
18636 31
18652 30
18723 24
18820 31
19083 35
19223 30
19235 26
19350 31
19517 35
19737 36
19744 23
19860 31
19862 34
19873 35
20045 34
20441 29
20474 33
20588 29
20643 30
20857 25
21381 25
21394 35
21531 31
21716 33
21975 26
22011 27
22101 28
22115 32
22175 30
22578 33
22749 33
22771 27
22799 31
23070 24
23209 28
23283 32
23286 31
23372 34
23471 32
23638 33
23725 31
23838 32
24160 33
24232 31
24423 25
24719 29
24933 27
24982 30
25200 36
25256 26
25380 31
