x y
0 0.000000000000000
1 0.000000000000000
2 0.000000000000000
3 0.000000000000000
4 0.000000000000000
5 0.000000000000000
6 0.000000000000000
7 0.000000000000000
8 0.000000000000000
9 0.000000000000000
10 0.000000000000000
11 0.00709219858156028
12 0.0141843971631206
13 0.00709219858156028
14 0.000000000000000
15 0.0283687943262411
16 0.0780141843971631
17 0.0851063829787234
18 0.148936170212766
19 0.134751773049645
20 0.141843971631206
21 0.120567375886525
22 0.134751773049645
23 0.0496453900709220
24 0.0354609929078014
25 0.00709219858156028
26 0.00709219858156028
27 0.000000000000000
28 0.000000000000000
29 0.000000000000000
30 0.000000000000000
31 0.000000000000000
